workload,config,prefetcher,level,latency,depth,degree,slots,table_entries,delta_width,accesses,reached_level,baseline_misses,misses,miss_rate,coverage,accuracy,generated,filtered,issued,useful,late,late_rate,pollution,overflows,seconds
lbm,ngram-l2-lat64-degree8-depth1-slots4,ngram,L2,64,1,8,4,524288,48,20000000,3239998,2160839,2373464,73.2551,-9.8399,10.4473,27581659,19288295,8293364,866436,2035512,24.5439,64.9779,0,384.8
lbm,ngram-l2-lat64-degree8-depth2-slots1,ngram,L2,64,2,8,1,524288,48,20000000,3239998,2160839,1608541,49.6464,25.5594,26.0638,21749829,19704285,2045544,533147,1486661,72.678,1.252,0,370.7
lbm,ngram-l2-lat64-degree8-depth2-slots2,ngram,L2,64,2,8,2,524288,48,20000000,3239998,2160839,1524165,47.0422,29.4642,26.921,26205664,24002614,2203050,593084,1523355,69.1475,3.9226,0,401.3
lbm,ngram-l2-lat64-degree8-depth2-slots4,ngram,L2,64,2,8,4,524288,48,20000000,3239998,2160839,1475489,45.5398,31.7168,29.2841,26097052,23908728,2188324,640832,1474734,67.391,3.3156,0,354.3
lbm,none-l2-lat0,none,L2,0,,,,,,20000000,3239998,2160839,2160839,66.6926,0.0,0.0,0,0,0,0,0,0.0,0.0,,58.7
lbm,stride-l2-lat64-degree1,stride,L2,64,,1,,,,20000000,3239998,2160839,941586,29.0613,56.425,57.1706,3197785,1065126,2132659,1219253,913312,42.825,0.0037,,76.8
lbm,stride-l2-lat64-degree2,stride,L2,64,,2,,,,20000000,3239998,2160839,6974,0.2152,99.6773,99.881,6395570,4239136,2156434,2153867,2376,0.1102,0.0076,,96.6
lbm,stride-l2-lat64-degree4,stride,L2,64,,4,,,,20000000,3239998,2160839,891,0.0275,99.9588,99.9813,12791140,10630780,2160360,2159957,14,0.0006,0.0155,,144.2
lbm,stride-l2-lat64-degree8,stride,L2,64,,8,,,,20000000,3239998,2160839,915,0.0282,99.9577,99.9626,25582280,23421511,2160769,2159960,13,0.0006,0.0318,,181.3
bwaves,ngram-l2-lat64-degree1-depth1-slots1,ngram,L2,64,1,1,1,524288,48,20000000,74772,73683,52347,70.0088,28.9565,36.0503,59703,519,59184,21336,37840,63.9362,0.0068,0,36.6
