workload,config,prefetcher,level,latency,depth,degree,slots,table_entries,delta_width,accesses,reached_level,baseline_misses,misses,miss_rate,coverage,accuracy,generated,filtered,issued,useful,late,late_rate,pollution,overflows,seconds
gcc,ngram-l2-lat16-degree4-depth2-slots1,ngram,L2,16,2,4,1,524288,48,20000000,1448681,948321,458843,31.6732,51.6152,87.0545,1397010,834744,562266,489478,72123,12.8272,0.1179,0,73.9
gcc,ngram-l2-lat256-degree1-depth2-slots1,ngram,L2,256,2,1,1,524288,48,20000000,1448681,948321,948318,65.4608,0.0003,0.0009,355203,14799,340404,3,340037,99.8922,0.1066,0,62.0
gcc,ngram-l2-lat256-degree4-depth2-slots1,ngram,L2,256,2,4,1,524288,48,20000000,1448681,948321,948304,65.4598,0.0018,0.003,1397010,834744,562266,17,561584,99.8787,0.1179,0,78.7
gcc,ngram-l2-lat4-degree1-depth2-slots1,ngram,L2,4,2,1,1,524288,48,20000000,1448681,948321,707441,48.8335,25.4007,70.763,355203,14799,340404,240880,99160,29.1301,0.1066,0,66.0
gcc,ngram-l2-lat4-degree4-depth2-slots1,ngram,L2,4,2,4,1,524288,48,20000000,1448681,948321,399355,27.5668,57.8882,97.6346,1397010,834744,562266,548966,12635,2.2472,0.1179,0,80.3
gcc,ngram-l2-lat64-degree1-depth2-slots1,ngram,L2,64,2,1,1,524288,48,20000000,1448681,948321,948291,65.4589,0.0032,0.0088,355203,14799,340404,30,340010,99.8843,0.1066,0,64.1
gcc,ngram-l2-lat64-degree4-depth2-slots1,ngram,L2,64,2,4,1,524288,48,20000000,1448681,948321,755274,52.1353,20.3567,34.3337,1397010,834744,562266,193047,368554,65.548,0.1179,0,79.7
gcc,none-l2-lat0,none,L2,0,,,,,,20000000,1448681,948321,948321,65.461,0.0,0.0,0,0,0,0,0,0.0,0.0,,44.3
gcc,stride-l2-lat0-degree1,stride,L2,0,,1,,,,20000000,1448681,948321,377121,26.032,60.2328,99.8397,627157,55038,572119,571202,0,0.0,0.1577,,48.6
gcc,stride-l2-lat0-degree4,stride,L2,0,,4,,,,20000000,1448681,948321,142238,9.8184,85.0011,99.4527,2503042,1692517,810525,806089,0,0.0,0.5408,,52.3
gcc,stride-l2-lat16-degree1,stride,L2,16,,1,,,,20000000,1448681,948321,716882,49.4852,24.4051,40.4533,627157,55038,572119,231441,339761,59.3864,0.1577,,52.5
gcc,stride-l2-lat16-degree4,stride,L2,16,,4,,,,20000000,1448681,948321,177550,12.256,81.2774,95.096,2503042,1692517,810525,770777,35312,4.3567,0.5408,,65.6
gcc,stride-l2-lat256-degree1,stride,L2,256,,1,,,,20000000,1448681,948321,943531,65.1303,0.5051,0.8376,627157,55038,572119,4792,566410,99.0021,0.1577,,52.0
gcc,stride-l2-lat256-degree4,stride,L2,256,,4,,,,20000000,1448681,948321,882574,60.9226,6.933,8.1124,2503042,1692519,810523,65753,740336,91.3405,0.5405,,70.7
gcc,stride-l2-lat4-degree1,stride,L2,4,,1,,,,20000000,1448681,948321,537563,37.1071,43.3142,71.7963,627157,55038,572119,410760,160442,28.0435,0.1577,,51.2
gcc,stride-l2-lat4-degree4,stride,L2,4,,4,,,,20000000,1448681,948321,152799,10.5475,83.8874,98.1497,2503042,1692517,810525,795528,10561,1.303,0.5408,,63.5
gcc,stride-l2-lat64-degree1,stride,L2,64,,1,,,,20000000,1448681,948321,912582,62.994,3.7687,6.2471,627157,55038,572119,35741,535461,93.5926,0.1577,,51.1
gcc,stride-l2-lat64-degree4,stride,L2,64,,4,,,,20000000,1448681,948321,454486,31.3724,52.0747,60.9285,2503042,1692517,810525,493841,312248,38.5242,0.5408,,66.7
xalancbmk,ngram-l2-lat0-degree1-depth2-slots1,ngram,L2,0,2,1,1,524288,48,20000000,1688747,1508712,1039970,61.5823,31.069,82.861,689289,117927,571362,473436,0,0.0,17.0601,0,82.6
xalancbmk,ngram-l2-lat0-degree4-depth2-slots1,ngram,L2,0,2,4,1,524288,48,20000000,1688747,1508712,1025543,60.728,32.0253,77.969,1302193,673620,628573,490092,0,0.0,21.9209,0,88.9
xalancbmk,ngram-l2-lat16-degree1-depth2-slots1,ngram,L2,16,2,1,1,524288,48,20000000,1688747,1508712,1457019,86.2781,3.4263,9.8687,689289,117928,571361,56386,417049,72.9922,17.06,0,99.2
xalancbmk,ngram-l2-lat16-degree4-depth2-slots1,ngram,L2,16,2,4,1,524288,48,20000000,1688747,1508712,1392729,82.4711,7.6876,19.5501,1302193,673645,628548,122882,367186,58.4181,21.9216,0,89.4
